Time,Voltage ,Temprature
374.3011741,0.936253333,17.27060834
376.263607,0.936504286,17.26669631
378.2308842,0.936896,17.26443146
379.983028,0.936915,17.26198562
381.7401001,0.937122,17.25773037
383.5099434,0.937461667,17.25174676
385.293532,0.93791,17.25482905
387.2684475,0.938068571,17.25474666
389.2488595,0.938106,17.25766798
391.0152241,0.93781,17.25335655
392.7714797,0.936636,17.25180914
394.5426575,0.936335,17.25046141
396.2983651,0.936292,17.24304884
398.0917872,0.93635,17.24968773
400.0837615,0.936615714,17.25093314
402.0712908,0.93664,17.24768485
403.813813,0.936772,17.2475538
405.5941628,0.937306667,17.24704215
407.3529606,0.94089,17.24337331
409.1145762,0.943506667,17.24492071
411.091269,0.944595714,17.2403758
413.0843956,0.945211667,17.23918652
414.8464662,0.94557,17.2361665
416.6060973,0.945866667,17.23338983
418.3603464,0.946302,17.2291468
420.1307843,0.946756667,17.2310125
421.8910797,0.947398,17.22811723
423.8874475,0.947418571,17.22981321
425.8507676,0.946986667,17.22972086
427.6227019,0.944475,17.22728111
429.400113,0.942908,17.2311997
431.1575547,0.943011667,17.22547781
432.925082,0.94323,17.22057948
434.8953666,0.943587143,17.21337986
436.8888352,0.944112,6.068580173
438.656082,0.944275,17.21433329
440.4077575,0.944462,17.21446436
442.1596467,0.944673333,17.21194962
443.9294153,0.94448,17.21208068
445.6828445,0.944266667,17.20783121
447.6977161,0.944412857,17.20601158
449.6820206,0.944485,17.20512301
451.4393004,0.944576,17.20235862
453.1835908,0.944943333,17.1992011
454.9393464,0.945064,17.1921808
456.6938575,0.945675,17.1919874
458.6849363,0.945725714,17.18874868
460.6735224,0.945971667,17.18992809
462.4307359,0.946326,17.18522911
464.2082511,0.946631667,17.1830387
465.9774865,0.946838,17.1803928
467.7464297,0.946531667,17.18297634
469.5099979,0.946852,17.18091074
471.4949797,0.947027143,17.17994723
473.4945575,0.947826667,17.18001213
475.2525336,0.949405,17.17789037
477.011413,0.949186,17.17665474
478.7808241,0.949331667,17.17782174
480.562219,0.949548,17.17086352
482.3082797,0.949801667,17.1720867
484.3147428,0.95064,17.16670728
486.3008145,0.950766667,17.1556675
488.06335,0.951368,17.15425084
489.7974751,0.951645,17.15875043
491.5723241,0.95195,17.15154233
493.3278707,0.952243333,17.15347699
495.3140691,0.952461429,17.15424087
497.3080908,0.952791667,17.15199168
499.068013,0.953012,17.1457508
500.8247022,0.953371667,17.13229516
502.5771628,0.95375,17.10865332
504.364407,0.953658333,17.06768899
506.1499943,0.953748,17.03529228
508.1176246,0.953414286,17.03351317
510.1046342,0.953255,17.01512262
511.8615449,0.953381667,16.98844692
513.6352116,0.9533,16.95173027
515.4108335,0.953423333,16.95102477
517.1706683,0.953718,16.94238364
518.9243988,0.954,16.92208504
520.9315986,0.954054286,16.87892994
522.902407,0.953926667,16.85081769
524.6616452,0.953636,16.81788723
526.4249381,0.95298,16.80178032
528.1829241,0.952472,16.78541044
529.9653797,0.952226667,16.73622229
531.7436357,0.952044,16.71740155
533.7155421,0.9519,16.70135224
535.6861229,0.95188,16.64262261
537.4451067,0.950224,16.59052018
539.2101797,0.949901667,16.55608403
540.9703988,0.949768333,16.51230854
542.7450797,0.949592,16.48508536
544.7038328,0.94962,16.46024408
546.7094379,0.951298333,16.42922719
548.4800505,0.952316,16.38459613
550.2381797,0.952603333,16.35046962
552.2677368,0.953723333,16.31994804
554.153206,0.954802,16.28005068
555.6774721,0.95503,16.24007128
557.4158238,0.956181667,16.20896085
559.3968797,0.960022857,16.16562286
561.3512731,0.963888333,16.09298661
563.1433571,0.965246,16.05716228
564.914219,0.96901,16.0018968
566.6885039,0.975514,15.9455298
568.456713,0.981928333,15.84511666
570.2153314,0.986616,15.76850698
572.1845904,1.11339,15.68897662
574.1661404,1.113563333,15.65209679
575.9351797,1.115184,15.58800332
577.6930505,1.116705,15.52913122
579.448713,1.117645,15.47251203
581.2182977,1.119098,15.39797632
583.2126618,1.119972857,15.32673136
585.1955111,1.12084,15.21757804
