Time,Voltage 1,Temperature
90.59665795,8.33E-06,22.39878386
92.43387324,2.67E-05,22.39801862
94.22133524,3.33E-05,22.39872214
95.9988707,1.40E-05,22.39795693
97.77434261,1.00E-05,22.39789523
99.74536837,5.71E-06,22.39664372
101.7520169,-2.00E-06,22.39903687
103.5357725,2.50E-05,22.39795693
105.2848034,1.80E-05,22.39605006
107.0412861,1.83E-05,22.39763604
108.8096908,8.00E-06,22.39484049
110.6234709,2.33E-05,22.39095265
112.5914184,1.43E-05,22.3950096
114.5766115,1.67E-05,22.39445172
116.3478908,1.60E-05,22.39356308
118.1094887,8.33E-06,22.39356307
119.8964999,2.00E-05,22.39177342
121.6573842,1.33E-05,22.39082304
123.4276342,1.33E-05,22.38973692
125.4084045,1.83E-05,22.38650811
127.4035449,1.50E-05,22.38757695
129.1914662,5.00E-06,22.38573175
130.9494751,1.00E-05,22.38667596
132.7225561,1.67E-05,22.38700304
134.4925561,1.17E-05,22.3875708
136.2633842,1.40E-05,22.38305337
138.2445716,1.29E-05,22.38472582
140.2408866,1.33E-05,22.38884826
142.0285449,2.20E-05,22.3814612
143.7820092,1.00E-05,22.3857873
145.5369718,1.67E-05,22.38496652
147.3006797,8.00E-06,22.38280037
149.0866685,8.33E-06,22.38737949
151.0628342,1.00E-05,22.38309166
153.0162686,1.80E-05,22.38324472
154.7914355,1.50E-05,22.38381862
156.539713,1.40E-05,22.3866266
158.320032,1.67E-05,22.38349773
160.0842078,1.40E-05,22.38159077
162.0786076,1.43E-05,22.38517508
164.066113,5.00E-06,22.38006644
165.8510617,2.17E-05,22.3830534
167.6101741,1.40E-05,22.38547256
169.3735449,1.17E-05,22.37668454
171.1364241,2.00E-05,22.38152908
172.8898274,8.33E-06,22.3831151
174.8768869,2.29E-05,22.38365448
176.8852019,1.00E-05,22.38254735
178.6672302,3.33E-06,22.38299167
180.4349183,5.00E-06,22.38018371
182.2060168,1.60E-05,22.37987515
183.9463464,1.83E-05,22.37929504
185.710913,1.20E-05,22.37967767
187.4975241,1.00E-05,22.3803812
189.4807878,1.71E-05,22.37743375
191.4662302,1.40E-05,22.37082163
193.2390203,1.50E-05,22.37440111
194.9967696,1.33E-05,22.37706717
196.7736347,2.00E-06,22.37190783
198.5442933,3.33E-06,22.37030941
200.535276,5.71E-06,22.37146965
202.4974774,1.40E-05,22.36879122
204.2650973,1.50E-05,22.37101913
206.0280908,8.00E-06,22.37272861
207.7823956,1.33E-05,22.36980335
209.5560464,1.17E-05,22.3682111
211.332413,2.00E-06,22.37248177
213.3187243,7.14E-06,22.36556473
215.3190954,2.50E-05,22.37095741
217.0879044,1.00E-05,22.36917384
218.8644383,1.50E-05,22.37248795
220.6340058,5.00E-06,22.36674844
222.4116123,8.00E-06,22.36834067
224.1737251,8.33E-06,22.36840857
225.9499464,5.00E-06,22.36471799
227.9531932,6.67E-06,22.37040319
229.9269297,5.00E-06,22.36681015
231.6824183,1.33E-05,22.36770502
233.4538006,6.78E-22,22.3654709
235.2378501,1.67E-06,22.36452667
237.0087933,0,22.36248388
238.9851753,-6.05E-23,22.36199508
240.9635241,7.06E-23,22.36088543
242.7378258,-1.67E-06,22.35910799
244.4997583,1.60E-05,22.3599967
246.2758388,3.33E-06,22.36197164
248.0561179,1.20E-05,22.35636778
249.8491323,1.33E-05,22.35891666
251.8117487,-1.43E-06,22.35552715
253.7932864,1.83E-05,22.35439284
255.6150964,1.17E-05,22.35146124
257.4791579,8.00E-06,22.35617029
259.2981797,1.67E-05,22.35350411
261.0445992,3.39E-22,22.34910365
262.9762407,8.33E-06,22.35349793
264.686362,6.67E-06,22.35299801
266.3417929,0,22.35157236
268.2584444,1.14E-05,22.34992325
270.2253241,6.00E-06,22.35197351
271.9938541,-4.00E-06,22.34458588
273.7991591,3.33E-06,22.34923326
