x-axis,1,2
second,Volt,Volt
-20.5000E-06,+25.5280309786E+00,-2.4464890E-03
-20.4000E-06,+25.5280309786E+00,-2.4461907E-03
-20.3000E-06,+25.5280309786E+00,-2.4437406E-03
-20.2000E-06,+25.5280309786E+00,-2.4497150E-03
-20.1000E-06,+25.5280309786E+00,-2.4472277E-03
-20.0000E-06,+25.5280309786E+00,-2.4335797E-03
-19.9000E-06,+25.5280309786E+00,-2.4364115E-03
-19.8000E-06,+25.5280309786E+00,-2.4320918E-03
-19.7000E-06,+25.5280309786E+00,-2.4416167E-03
-19.6000E-06,+25.5280309786E+00,-2.4444093E-03
-19.5000E-06,+25.5280309786E+00,-2.4330750E-03
-19.4000E-06,+25.5280309786E+00,-2.4326697E-03
-19.3000E-06,+25.5280309786E+00,-2.4525674E-03
-19.2000E-06,+25.5280309786E+00,-2.4568601E-03
-19.1000E-06,+25.5280309786E+00,-2.4455131E-03
-19.0000E-06,+25.5280309786E+00,-2.4413692E-03
-18.9000E-06,+25.5280309786E+00,-2.4459432E-03
-18.8000E-06,+25.5280309786E+00,-2.4512265E-03
-18.7000E-06,+25.5280309786E+00,-2.4607090E-03
-18.6000E-06,+25.5280309786E+00,-2.4465967E-03
-18.5000E-06,+25.5280309786E+00,-2.4392651E-03
-18.4000E-06,+25.5280309786E+00,-2.4412777E-03
-18.3000E-06,+25.5280309786E+00,-2.4369554E-03
-18.2000E-06,+25.5280309786E+00,-2.4277028E-03
-18.1000E-06,+25.5280309786E+00,-2.4146179E-03
-18.0000E-06,+25.5280309786E+00,-2.4065243E-03
-17.9000E-06,+25.5280309786E+00,-2.4262806E-03
-17.8000E-06,+25.5280309786E+00,-2.4116492E-03
-17.7000E-06,+25.5280309786E+00,-2.4201303E-03
-17.6000E-06,+25.5280309786E+00,-2.4002535E-03
-17.5000E-06,+25.5280309786E+00,-2.3789229E-03
-17.4000E-06,+25.5280309786E+00,-2.3729088E-03
-17.3000E-06,+25.5280309786E+00,-2.4377144E-03
-17.2000E-06,+25.5280309786E+00,-2.3611262E-03
-17.1000E-06,+25.5280309786E+00,-2.3326110E-03
-17.0000E-06,+25.5280309786E+00,-2.3900872E-03
-16.9000E-06,+25.5280309786E+00,-2.3774191E-03
-16.8000E-06,+25.5280309786E+00,-2.3726504E-03
-16.7000E-06,+25.5280309786E+00,-2.3644226E-03
-16.6000E-06,+25.5280309786E+00,-2.3392445E-03
-16.5000E-06,+25.5280309786E+00,-2.3247656E-03
-16.4000E-06,+25.5280309786E+00,-2.3346059E-03
-16.3000E-06,+25.5280309786E+00,-2.2975156E-03
-16.2000E-06,+25.5280309786E+00,-2.2970841E-03
-16.1000E-06,+25.5280309786E+00,-2.2896587E-03
-16.0000E-06,+25.5280309786E+00,-2.2873569E-03
-15.9000E-06,+25.5280309786E+00,-2.2779441E-03
-15.8000E-06,+25.5280309786E+00,-2.2871444E-03
-15.7000E-06,+25.5280309786E+00,-2.2792622E-03
-15.6000E-06,+25.5280309786E+00,-2.2735000E-03
-15.5000E-06,+25.5280309786E+00,-2.2558142E-03
-15.4000E-06,+25.5280309786E+00,-2.2548969E-03
-15.3000E-06,+25.5280309786E+00,-2.2593059E-03
-15.2000E-06,+25.5280309786E+00,-2.2613833E-03
-15.1000E-06,+25.5280309786E+00,-2.2576178E-03
-15.0000E-06,+25.5280309786E+00,-2.2514374E-03
-14.9000E-06,+25.5280309786E+00,-2.2524407E-03
-14.8000E-06,+25.5280309786E+00,-2.2436531E-03
-14.7000E-06,+25.5280309786E+00,-2.2393128E-03
-14.6000E-06,+25.5280309786E+00,-2.2242166E-03
-14.5000E-06,+25.5280309786E+00,-2.2499420E-03
-14.4000E-06,+25.5280309786E+00,-2.2304268E-03
-14.3000E-06,+25.5280309786E+00,-2.2360054E-03
-14.2000E-06,+25.5280309786E+00,-2.2324988E-03
-14.1000E-06,+25.5280309786E+00,-2.2361989E-03
-14.0000E-06,+25.5280309786E+00,-2.2315550E-03
-13.9000E-06,+25.5280309786E+00,-2.2210912E-03
-13.8000E-06,+25.5280309786E+00,-2.2138126E-03
-13.7000E-06,+25.5280309786E+00,-2.2042078E-03
-13.6000E-06,+25.5280309786E+00,-2.1990031E-03
-13.5000E-06,+25.5280309786E+00,-2.1956941E-03
-13.4000E-06,+25.5280309786E+00,-2.1959979E-03
-13.3000E-06,+25.5280309786E+00,-2.1961580E-03
-13.2000E-06,+25.5280309786E+00,-2.2008206E-03
-13.1000E-06,+25.5280309786E+00,-2.1890509E-03
-13.0000E-06,+25.5280309786E+00,-2.1721315E-03
-12.9000E-06,+25.5280309786E+00,-2.1775877E-03
-12.8000E-06,+25.5280309786E+00,-2.1709954E-03
-12.7000E-06,+25.5280309786E+00,-2.1635443E-03
-12.6000E-06,+25.5280309786E+00,-2.1685139E-03
-12.5000E-06,+25.5280309786E+00,-2.1565574E-03
-12.4000E-06,+25.5280309786E+00,-2.1564015E-03
-12.3000E-06,+25.5280309786E+00,-2.1525506E-03
-12.2000E-06,+25.5280309786E+00,-2.1350585E-03
-12.1000E-06,+25.5280309786E+00,-2.1332416E-03
-12.0000E-06,+25.5280309786E+00,-2.1320833E-03
-11.9000E-06,+25.5280309786E+00,-2.1184488E-03
-11.8000E-06,+25.5280309786E+00,-2.1125705E-03
-11.7000E-06,+25.5280309786E+00,-2.1255737E-03
-11.6000E-06,+25.5280309786E+00,-2.1170116E-03
-11.5000E-06,+25.5280309786E+00,-2.1193425E-03
-11.4000E-06,+25.5280309786E+00,-2.1115797E-03
-11.3000E-06,+25.5280309786E+00,-2.1064034E-03
-11.2000E-06,+25.5280309786E+00,-2.1240432E-03
-11.1000E-06,+25.5280309786E+00,-2.1034584E-03
-11.0000E-06,+25.5280309786E+00,-2.0949657E-03
-10.9000E-06,+25.5280309786E+00,-2.0954424E-03
-10.8000E-06,+25.5280309786E+00,-2.1030028E-03
-10.7000E-06,+25.5280309786E+00,-2.1198649E-03
-10.6000E-06,+25.5280309786E+00,-2.0937269E-03
-10.5000E-06,+25.5280309786E+00,-2.0805312E-03
-10.4000E-06,+25.5280309786E+00,-2.0901393E-03
-10.3000E-06,+25.5280309786E+00,-2.0776508E-03
-10.2000E-06,+25.5280309786E+00,-2.0765208E-03
-10.1000E-06,+25.5280309786E+00,-2.0724404E-03
-10.0000E-06,+25.5280309786E+00,-2.0705439E-03
-9.9000E-06,+25.5280309786E+00,-2.0748437E-03
-9.8000E-06,+25.5280309786E+00,-2.0929260E-03
