x-axis,1,2
second,Volt,Volt
-29.8000E-06,,
-29.7000E-06,+25.5280309786E+00,-3.7057192E-03
-29.6000E-06,+25.5280309786E+00,-3.7146825E-03
-29.5000E-06,+25.5280309786E+00,-3.7144630E-03
-29.4000E-06,+25.5280309786E+00,-3.7146517E-03
-29.3000E-06,+25.5280309786E+00,-3.7249840E-03
-29.2000E-06,+25.5280309786E+00,-3.7225408E-03
-29.1000E-06,+25.5280309786E+00,-3.7293146E-03
-29.0000E-06,+25.5280309786E+00,-3.7323657E-03
-28.9000E-06,+25.5280309786E+00,-3.7386411E-03
-28.8000E-06,+25.5280309786E+00,-3.7388603E-03
-28.7000E-06,+25.5280309786E+00,-3.7439366E-03
-28.6000E-06,+25.5280309786E+00,-3.7481891E-03
-28.5000E-06,+25.5280309786E+00,-3.7554784E-03
-28.4000E-06,+25.5280309786E+00,-3.7450652E-03
-28.3000E-06,+25.5280309786E+00,-3.7464989E-03
-28.2000E-06,+25.5280309786E+00,-3.7486726E-03
-28.1000E-06,+25.5280309786E+00,-3.7506996E-03
-28.0000E-06,+25.5280309786E+00,-3.7527176E-03
-27.9000E-06,+25.5280309786E+00,-3.7543485E-03
-27.8000E-06,+25.5280309786E+00,-3.7591375E-03
-27.7000E-06,+25.5280309786E+00,-3.7533046E-03
-27.6000E-06,+25.5280309786E+00,-3.7566503E-03
-27.5000E-06,+25.5280309786E+00,-3.7590613E-03
-27.4000E-06,+25.5280309786E+00,-3.7656564E-03
-27.3000E-06,+25.5280309786E+00,-3.7650870E-03
-27.2000E-06,+25.5280309786E+00,-3.7624038E-03
-27.1000E-06,+25.5280309786E+00,-3.7666608E-03
-27.0000E-06,+25.5280309786E+00,-3.7593503E-03
-26.9000E-06,+25.5280309786E+00,-3.7609313E-03
-26.8000E-06,+25.5280309786E+00,-3.7691846E-03
-26.7000E-06,+25.5280309786E+00,-3.7789469E-03
-26.6000E-06,+25.5280309786E+00,-3.7694191E-03
-26.5000E-06,+25.5280309786E+00,-3.7717842E-03
-26.4000E-06,+25.5280309786E+00,-3.7643782E-03
-26.3000E-06,+25.5280309786E+00,-3.7655613E-03
-26.2000E-06,+25.5280309786E+00,-3.7776129E-03
-26.1000E-06,+25.5280309786E+00,-3.7756602E-03
-26.0000E-06,+25.5280309786E+00,-3.7734788E-03
-25.9000E-06,+25.5280309786E+00,-3.7588843E-03
-25.8000E-06,+25.5280309786E+00,-3.7578398E-03
-25.7000E-06,+25.5280309786E+00,-3.7601412E-03
-25.6000E-06,+25.5280309786E+00,-3.7572099E-03
